타임스탬프,1. 카페를 얼마나 자주 방문하십니까?,2. 카페 선택시 가성비를 중요시하십니까?,3. 매장 분위기가 인상적인 것을 좋아하십니까? ,4. 카페 사용에 있어 평균 체류시간이 얼마나 되십니까?,5. 프랜차이즈 카페를 선호하십니까?,6. 카페를 선택할 때 SNS의 도움을 받는 편이십니까? ,7. 카페 이용시 음료 외 메뉴를 자주 소비하십니까?,8. 카페 이용시 어떤 매장 규모를 선호하십니까?,9. 카페를 주로 언제 이용하십니까?,10. 카페를 선택할 때 프로모션의 영향을 받으십니까?
12-3-2018 18:20:00,3,3,3,4,3,1,2,3,4,3
12-3-2018 18:59:11,2,4,4,3,2,5,4,3,4,5
12-3-2018 19:44:33,4,4,4,2,3,2,1,3,2,2
12-3-2018 22:32:41,1,3,5,3,3,5,3,5,3,5
12-3-2018 22:44:18,5,5,1,4,3,1,1,4,4,5
12-3-2018 22:45:47,4,5,5,2,4,4,4,4,3,4
12-3-2018 22:45:48,5,5,1,1,1,1,3,5,3,3
12-3-2018 22:46:55,4,5,3,4,3,1,1,5,3,1
12-3-2018 22:47:07,5,3,2,3,3,1,2,4,3,4
12-3-2018 22:47:07,2,5,5,3,2,1,4,3,4,1
12-3-2018 22:47:23,2,1,1,3,5,2,1,5,4,1
12-3-2018 22:48:14,2,1,1,2,5,1,3,5,3,5
12-3-2018 22:48:17,2,3,4,2,3,2,2,3,3,4
12-3-2018 22:49:05,3,5,4,3,4,1,2,5,4,2
12-3-2018 22:49:22,4,3,5,5,5,4,5,3,3,1
12-3-2018 22:50:42,5,3,4,1,3,4,3,4,2,2
12-3-2018 22:51:17,4,2,4,3,4,3,4,4,3,5
12-3-2018 22:51:19,4,5,5,5,2,1,1,3,4,1
12-3-2018 22:53:49,2,4,4,3,4,4,3,3,3,4
12-3-2018 22:54:23,3,5,4,4,2,1,1,3,4,2
12-3-2018 22:55:13,1,4,2,2,3,2,1,3,4,2
12-3-2018 22:59:51,3,5,4,1,3,2,1,5,4,4
12-3-2018 23:03:22,3,5,4,2,3,1,1,3,4,1
12-3-2018 23:04:55,4,4,2,1,3,4,5,4,3,4
12-3-2018 23:07:11,2,5,5,3,1,1,3,2,4,1
12-3-2018 23:08:36,3,4,4,3,4,4,2,5,3,5
12-3-2018 23:11:46,4,5,3,2,4,2,4,5,4,4
12-3-2018 23:14:04,4,3,4,2,3,4,4,5,4,1
12-3-2018 23:15:24,2,4,3,2,4,2,2,3,3,3
12-3-2018 23:16:18,3,5,1,3,2,1,1,3,3,3
12-3-2018 23:20:01,5,5,5,4,3,5,3,4,4,4
12-3-2018 23:28:57,4,4,5,3,5,2,4,5,3,3
12-3-2018 23:29:33,1,2,1,1,3,1,1,3,4,3
12-3-2018 23:34:44,3,3,3,3,3,3,3,3,4,3
12-3-2018 23:45:18,5,3,3,3,5,5,,5,3,1
12-3-2018 23:54:43,2,4,2,3,1,1,1,3,4,2
12-3-2018 23:59:07,2,3,5,2,3,1,2,2,5,1
12-3-2018 23:59:55,1,4,5,1,2,2,3,3,4,4
12-4-2018 0:00:10,2,3,3,1,3,1,1,3,5,3
12-4-2018 0:03:14,5,1,5,5,5,1,2,5,3,1
12-4-2018 0:03:40,3,3,3,3,3,1,2,3,3,2
12-4-2018 0:05:08,2,5,5,2,1,1,1,4,3,1
12-4-2018 0:05:33,1,5,5,2,3,1,1,3,5,3
12-4-2018 0:58:39,1,2,2,2,2,2,2,2,2,2
12-4-2018 1:42:39,5,4,5,2,2,4,2,4,4,5
12-4-2018 1:49:52,2,5,4,2,4,3,2,5,3,4
12-4-2018 2:40:34,4,4,5,5,3,3,,3,4,3
12-4-2018 8:28:40,3,5,3,1,2,1,1,3,2,3
12-4-2018 11:28:29,3,4,3,3,4,4,4,4,4,4
12-4-2018 11:29:10,1,2,2,4,4,1,2,5,3,4
12-4-2018 14:52:54,3,4,5,3,3,5,2,5,4,4
12-4-2018 22:02:43,1,2,4,2,3,5,4,2,4,2
12-4-2018 22:03:44,4,5,2,4,4,1,2,5,2,4
12-4-2018 23:25:55,3,4,5,2,4,4,3,4,3,2
12-5-2018 19:56:40,2,5,4,2,4,1,1,4,4,1
12-6-2018 17:55:42,3,3,3,3,3,3,3,3,4,4
